frame,timestamp_sec,scene_name,group_id,video_name,track_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,cx,cy,frame_width,frame_height,crossed_line,direction,speed_px_s
19,4.901,Dakar - Scène 1,group_01,traffic.mp4,13,car,0.59,755,675,878,779,817,779,1280,720,true,down,3.9
19,4.901,Dakar - Scène 1,group_01,traffic.mp4,21,motorcycle,0.547,515,679,652,949,583,949,1280,720,true,down,0.0
19,4.901,Dakar - Scène 1,group_01,traffic.mp4,18,person,0.49,735,678,768,778,751,778,1280,720,true,down,0.0
19,4.901,Dakar - Scène 1,group_01,traffic.mp4,8,person,0.477,1862,616,1919,893,1890,893,1280,720,true,down,131.3
19,4.901,Dakar - Scène 1,group_01,traffic.mp4,20,person,0.468,1864,615,1919,998,1892,998,1280,720,true,down,0.0
20,5.157,Dakar - Scène 1,group_01,traffic.mp4,2,bus,0.925,1335,406,1625,817,1480,817,1280,720,true,down,16.1
20,5.157,Dakar - Scène 1,group_01,traffic.mp4,3,car,0.909,904,677,1145,832,1024,832,1280,720,true,down,21.0
20,5.157,Dakar - Scène 1,group_01,traffic.mp4,6,person,0.824,1750,596,1862,879,1806,878,1280,720,true,down,8.7
20,5.157,Dakar - Scène 1,group_01,traffic.mp4,4,car,0.778,1181,658,1334,789,1258,789,1280,720,true,down,5.5
20,5.157,Dakar - Scène 1,group_01,traffic.mp4,7,bus,0.771,1650,594,1766,770,1708,770,1280,720,true,down,7.8
20,5.157,Dakar - Scène 1,group_01,traffic.mp4,21,motorcycle,0.723,465,674,659,961,562,960,1280,720,true,down,92.6
20,5.157,Dakar - Scène 1,group_01,traffic.mp4,1,truck,0.712,1,457,485,1068,243,1068,1280,720,true,down,101.6
20,5.157,Dakar - Scène 1,group_01,traffic.mp4,13,car,0.614,757,676,870,781,814,781,1280,720,true,down,14.1
20,5.157,Dakar - Scène 1,group_01,traffic.mp4,16,person,0.569,484,608,669,881,577,881,1280,720,true,down,89.2
20,5.157,Dakar - Scène 1,group_01,traffic.mp4,22,person,0.482,702,687,737,776,720,776,1280,720,true,down,0.0
20,5.157,Dakar - Scène 1,group_01,traffic.mp4,8,person,0.462,1869,617,1919,850,1894,850,1280,720,true,down,168.7
20,5.157,Dakar - Scène 1,group_01,traffic.mp4,18,person,0.331,738,678,768,779,753,778,1280,720,true,down,7.8
21,5.421,Dakar - Scène 1,group_01,traffic.mp4,2,bus,0.924,1335,406,1628,823,1482,823,1280,720,true,down,24.0
21,5.421,Dakar - Scène 1,group_01,traffic.mp4,3,car,0.905,900,680,1142,835,1021,835,1280,720,true,down,16.1
21,5.421,Dakar - Scène 1,group_01,traffic.mp4,6,person,0.852,1755,599,1864,881,1810,881,1280,720,true,down,18.9
21,5.421,Dakar - Scène 1,group_01,traffic.mp4,4,car,0.837,1185,660,1332,791,1259,791,1280,720,true,down,8.5
21,5.421,Dakar - Scène 1,group_01,traffic.mp4,7,bus,0.797,1655,594,1771,772,1713,772,1280,720,true,down,20.4
21,5.421,Dakar - Scène 1,group_01,traffic.mp4,13,car,0.723,760,680,878,784,819,784,1280,720,true,down,22.1
21,5.421,Dakar - Scène 1,group_01,traffic.mp4,21,motorcycle,0.659,467,669,647,967,557,967,1280,720,true,down,32.6
21,5.421,Dakar - Scène 1,group_01,traffic.mp4,1,car,0.616,1,452,452,1070,226,1070,1280,720,true,down,64.8
21,5.421,Dakar - Scène 1,group_01,traffic.mp4,16,person,0.594,522,613,649,885,585,885,1280,720,true,down,33.9
21,5.421,Dakar - Scène 1,group_01,traffic.mp4,24,person,0.472,645,679,682,781,663,781,1280,720,true,down,0.0
21,5.421,Dakar - Scène 1,group_01,traffic.mp4,22,person,0.469,706,686,742,779,724,779,1280,720,true,down,18.9
21,5.421,Dakar - Scène 1,group_01,traffic.mp4,8,person,0.434,1865,615,1919,851,1892,851,1280,720,true,down,8.5
